Roosevelt University,480,600,460,560,74,6069
Rowan University,460,580,488,620,2184,14778
Rutgers University-Camden,450,560,470,570,401,6321
Rutgers University-New Brunswick,520,640,570,700,6041,48378
Rutgers University-Newark,450,540,490,590,979,11314
Saint John Fisher College,470,560,500,600,559,3856
Saint Louis University,530,650,560,670,263,17052
Saint Mary's University of Minnesota,448,585,473,573,32,5825
Saint Peter's University,400,490,410,500,566,3302
Samford University,510,620,500,615,289,4933
Santa Clara University,590,680,620,710,916,9015
Seattle University,530,640,530,640,715,7273
Seton Hall University,510,600,530,620,1104,9627
Shenandoah University,440,550,440,560,373,3693
Simmons College,540,640,530,620,267,4897
Slippery Rock University of Pennsylvania,450,530,460,550,1452,8495
South Dakota State University,430,560,460,610,96,12543
Southern Illinois University-Carbondale,475,630,490,640,192,17989
Southern Illinois University-Edwardsville,440,600,480,570,41,13972
Southern Methodist University,600,690,620,710,745,11272
Southwest Baptist University,440,600,470,620,45,3696
Spalding University,460,520,400,480,13,2311
Springfield College,450,570,460,600,524,3178
St John's University-New York,490,590,500,620,2319,20445
St Mary's University,470,560,470,570,310,3712
St Thomas University,410,520,400,520,126,2217
Stanford University,680,780,700,790,1438,16963
Stockton University,480,600,500,600,1087,8570
Stony Brook University,540,640,610,710,2460,24607
Suffolk University,450,580,460,590,873,8215
SUNY at Binghamton,590,670,620,700,2453,16695
Syracuse University,520,620,550,660,2685,21492
Temple University,500,610,510,620,4045,37485
Texas A & M University-College Station,520,640,560,670,6757,61642
Texas Christian University,530,630,550,650,738,10033
Texas Southern University,360,440,370,460,1154,9233
Texas State University,460,560,470,560,3969,36739
Texas Tech University,490,590,510,610,3244,35158
Texas Woman's University,410,530,430,540,948,15071
The University of Alabama,490,620,500,630,1590,36047
The University of Findlay,470,560,470,480,154,5172
The University of Montana,480,610,490,590,614,13952
The University of Tennessee-Chattanooga,460,600,460,580,122,11670
The University of Tennessee-Knoxville,520,630,530,640,856,30386
The University of Texas at Arlington,420,568,490,610,2283,39740
The University of Texas at Austin,570,690,600,720,5903,51313
The University of Texas at Dallas,550,670,590,700,2119,23095
The University of Texas at El Paso,390,510,430,540,1775,23079
The University of Texas at Tyler,470,560,483,590,444,8036
Towson University,500,580,500,590,2500,22285
Tufts University,680,760,680,760,782,10907
Tulane University of Louisiana,610,710,620,700,728,12603
Tuskegee University,400,510,410,520,268,3103
Union University,550,660,520,660,63,3846
University at Buffalo,500,600,550,650,2919,29995
University of Akron Main Campus,450,580,450,620,482,23962
University of Alabama at Birmingham,500,640,490,640,92,18698
University of Alabama in Huntsville,520,670,530,650,111,7348
University of Arkansas,500,610,510,620,1153,26237
University of Arkansas at Little Rock,410,530,460,560,15,11645
University of Baltimore,420,520,390,510,201,6422
University of Bridgeport,410,490,410,490,500,5191
University of California-Berkeley,600,730,640,770,4749,37565
University of California-Davis,510,640,560,700,4829,34508
University of California-Irvine,480,600,550,690,5111,30051
University of California-Los Angeles,580,710,610,750,5044,41845
University of California-Riverside,490,600,520,650,4024,21498
University of California-San Diego,560,670,630,760,4441,30709
University of Central Arkansas,430,550,450,580,53,11698
University of Central Florida,540,640,550,640,3645,60767
University of Chicago,720,800,715,800,955,15097
University of Cincinnati-Main Campus,510,630,530,660,1194,35313
University of Colorado Boulder,520,630,540,660,2481,32432
University of Colorado Colorado Springs,490,590,490,600,336,11761
University of Colorado Denver,490,600,490,610,154,22791
University of Connecticut,550,650,590,690,3192,26541
University of Dayton,510,610,530,640,371,11343
University of Delaware,530,640,550,660,4450,22680
University of Denver,550,640,560,660,541,11809
University of Detroit Mercy,480,588,503,670,11,4945
University of Florida,580,670,590,690,3927,49459
University of Georgia,570,660,570,670,4331,35197
University of Hartford,440,550,440,560,1072,6817
University of Hawaii at Hilo,410,520,420,530,342,3924
University of Hawaii at Manoa,480,580,500,610,1238,19507
University of Houston,500,610,540,640,3566,40914
University of Idaho,450,580,460,590,1349,11702
University of Illinois at Chicago,460,590,530,660,174,27969
University of Illinois at Urbana-Champaign,590,690,700,790,1962,45140
University of Iowa,460,620,540,700,527,29970
University of Kentucky,490,620,510,640,1000,29203
University of La Verne,460,550,470,550,513,8517
University of Louisiana at Lafayette,470,590,490,590,169,17195
University of Louisville,500,620,510,630,134,21561
University of Mary Hardin-Baylor,470,570,480,570,407,3740
University of Maryland Eastern Shore,390,470,370,460,693,4279
University of Maryland-College Park,590,690,620,730,3667,37610
University of Massachusetts-Amherst,550,640,570,670,4225,28635
University of Massachusetts-Boston,460,570,490,580,1029,16756
University of Massachusetts-Dartmouth,450,560,470,570,1460,9111
University of Massachusetts-Lowell,510,600,540,640,1550,17179
University of Memphis,450,570,450,560,126,21059
University of Miami,600,690,620,730,945,16674
University of Michigan-Ann Arbor,620,720,660,760,2107,43625
University of Michigan-Flint,468,583,523,680,12,8574
University of Minnesota-Duluth,480,610,510,640,57,11093
University of Minnesota-Twin Cities,560,690,620,750,751,51147
University of Mississippi,480,590,490,590,1047,22503
University of Missouri-Columbia,520,650,530,660,537,35425
University of Missouri-Kansas City,500,680,510,680,67,16146
University of Nebraska-Lincoln,500,640,520,660,309,25006
University of Nevada-Las Vegas,440,550,440,560,3118,28515
University of Nevada-Reno,480,590,480,600,2718,19934
University of New England,480,580,490,580,540,6429
University of New Hampshire-Main Campus,490,590,510,610,2904,15117
University of New Mexico-Main Campus,480,620,485,620,684,27844
University of North Carolina at Chapel Hill,600,700,620,720,2386,29135
University of North Carolina at Charlotte,490,570,510,600,2864,27238
University of North Carolina at Greensboro,470,560,470,560,1870,18647
University of North Dakota,465,600,490,600,63,14906
University of North Florida,540,630,530,610,937,15984
University of North Texas,490,600,500,610,3598,36486
University of Notre Dame,660,750,680,770,848,12179
University of Oklahoma-Norman Campus,520,670,540,670,1427,27261
University of Oregon,490,610,500,620,2765,24096
University of Pennsylvania,670,770,690,780,1598,24806
University of Pittsburgh-Pittsburgh Campus,580,670,600,690,3298,28617
University of Rhode Island,480,580,490,590,2879,16571
University of San Diego,560,650,570,670,767,8349
University of San Francisco,510,620,530,630,1132,10689
University of South Alabama,450,570,450,585,177,15805
University of South Carolina-Columbia,550,640,570,660,2728,32971
University of South Dakota,400,440,470,610,77,10061
University of South Florida-Main Campus,530,620,540,630,2206,41938
University of Southern California,620,720,660,760,2298,42453
University of Southern Maine,440,560,440,550,670,8428
University of St Thomas,540,670,530,640,74,10140
University of the Incarnate Word,420,530,430,540,788,8745
University of the Pacific,508,630,530,683,754,6304
University of the Sciences,520,610,560,650,360,2748
University of Toledo,440,575,460,610,362,20626
University of Tulsa,560,710,570,700,192,4682
University of Utah,500,640,520,650,630,31515
University of Vermont,540,640,540,650,1933,12856
University of Virginia-Main Campus,620,720,630,740,3191,23732
University of Washington-Seattle Campus,530,650,580,700,5269,44784
University of Wisconsin-Madison,560,660,620,740,1104,42598
University of Wyoming,470,600,470,610,245,12820
Utah State University,470,590,450,590,579,27662
Valdosta State University,470,560,460,540,1218,11563
Vanderbilt University,710,780,720,800,657,12686
Villanova University,600,690,620,710,1108,10735
Virginia Commonwealth University,500,610,500,600,3258,30848
Virginia Polytechnic Institute and State University,540,640,570,680,5003,31224
Washington State University,450,570,460,580,3655,28686
Washington University in St Louis,700,770,720,800,835,14348
Waynesburg University,450,540,450,550,257,2039
West Virginia University,460,560,480,580,1967,29175
Western Carolina University,470,560,480,570,1049,10382
Western New England University,470,570,500,600,683,3922
Wheaton College,600,710,590,700,316,2914
Widener University-Main Campus,450,550,470,580,679,4912
Wilkes University,460,570,470,590,517,4562
William Carey University,400,590,470,590,13,3936
Wingate University,447,550,460,560,446,3034
Xavier University of Louisiana,450,550,460,550,155,2976
Yale University,710,800,700,800,1076,12336
Yeshiva University,560,680,560,680,535,6348
Youngstown State University,400,550,420,550,288,12503
